label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
4B S70 d=0.02 lr=1e-4 jump B1frozen(ro=4096)	s70_A3B1jump_4b	DONE	4B	33.14	46.60	32.32	26.80	0.75	59.21	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260909_204247	ablation4b_jump/s70_A3B1jump_4b_resume.log
4B S70 d=0.02 lr=1e-4 jump B1frozen(ro=4096)	s70_A3B1jump_4b	SUPERSEDED	4B							0	461	2048	0			ablation4b_jump/s70_A3B1jump_4b.log
4B S70 d=0.02 lr=1e-4 jump	s70_A3jump_4b	SUPERSEDED	4B							0	750	2048	0			ablation4b_jump/s70_A3jump_4b.log
4B S70 rule=schedule	smoke	DEAD	4B							0	27	64	0			ablation_A2_schedule_4b/smoke.log
4B S70 rule=schedule	smoke_er0.113_endsteps7_nofire	DEAD	4B							0	3	64	0			ablation_A2_schedule_4b/smoke_er0.113_endsteps7_nofire.log
4B S70 d=0.02 lr=1e-4 ro=2048	s70_ro2048	DEAD	4B							0	12	2048	0			ablation_B1_frozen_pool_4b/s70_ro2048.log
4B S50	alps_retrain_4b_n24_tok512_lr1e-4	LIVE	4B							0	973	2048	0			alps_4b_24/alps_retrain_4b_n24_tok512_lr1e-4.log
4B S50	alps_retrain_4b_n24_tok512_lr5e-05	LIVE	4B							0	999	2048	0			alps_4b_24/alps_retrain_4b_n24_tok512_lr5e-05.log
8B S70	alpssft512_s70.aborted_gpu_defrag	DEAD	8B							0	29	2048	0			alpssft512_8b/alpssft512_s70.aborted_gpu_defrag.log
8B S60 ro=1	run	DEAD	8B							0	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260820_033814	alpssft_8b_b200_s60pct_lr5e-5/run.log
? S60	debug_bs2_collatefix_s60_lr1e-4.launch	DEAD	?							0	9	2048	0			debug_bs2_collatefix_s60_lr1e-4.launch.log
? S60 ro=1	debug_bs2_ntponly.launch	DEAD	?							0	13	2048	0			debug_bs2_ntponly.launch.log
? S60 ro=1	debug_bs2_ntponly_nogradckpt.launch	DEAD	?							0	1	2048	0			debug_bs2_ntponly_nogradckpt.launch.log
? S60	debug_bs2_patchtest.launch	DEAD	?							0	13	2048	0			debug_bs2_patchtest.launch.log
